大人,Adult
黄色,Yellow
住所,Address
入所,Admiss
助言,Advic
答え,Answer
助力,Assist
助手,Assist
作者,Author
電池,Batteri
朝ごはん,Breakfast
場合,Case
全く,Complet
対立,Confront
会話,Convers
決心,Determin
医者,Doctor
役目,Duti
電気,Electr
電子,Electron
工学者,Engin
入場,Entranc
工場,Factori
対外,Foreign
楽しい,Fun,enjoy,entertain
北海道,Hokkaido
馬力,Horsepow
人間,Human,homosapien
究明,Investig
研究,Investig
研究室,Laboratori
長さ,Length
生地,Materi
数学,Mathemat
君主国,Monarchi
音楽,Music
名前,Name
当たり前,Natur
お知らせ,Notic
番号,Number
数字,Numer
反対,Opposit
未決,Pend
場所,Place
点数,Point
番組,Program
住人,Resid
学者,Scholar
歩道,Sidewalk
合図,Sign
間もなく,Soon
出所,Sourc
空間,Space
科目,Subject
電話,Telephon
時間,Time
明日,Tomorrow
電車,Train
お前,You
全部,All
天使,Angel
角度,Angl
発表,Announc
記事,Articl
仮定,Assumpt
通り,Avenu
美しい,Beauti
本屋,Bookstor
部室,Clubroom
具合,Condit
工事,Construct
相談,Consult
対談,Convers
決定,Decis
〜度,Degre
〜部,Depart
出発,Departur
不自由,Discomfort
発見,Discoveri
二重,Doubl
用事,Errand
重要,Essenti
丁度,Exactli
気持ち,Feel
火事,Fire
食べ物,Food
家具,Furnitur
お客さん,Guest
重い,Heavi
高さ,Height
家事,Housework
大事,Import
仮名,Kana
勝負,Match
食事,Meal
名古屋,Nagoya
必要,Necessari
付近,Neighborhood
新しい,New
苦しい,Pain
相手,Partner
平和,Peac
部分,Portion
〜県,Prefectur
発音,Pronunci
返事,Repli
住民,Resid
金持ち,Rich
部屋,Room
見物,Sightse
〜屋,Store
泳ぎ,Swim
教え,Teach
仮に,Temporarili
道具,Tool
事実,Truth
乗り物,Vehicl
弱虫,Weakl
勝者,Winner
学院,Academi
知り合い,Acquaint
進行,Advanc
農業,Agricultur
路地,Alley
算数,Arithmet
自転車,Bicycl
千葉,Chiba
集中,Concentr
調子,Condit
曲線,Curv
開発,Develop
〜病,Diseas
強調,Emphasi
終了,End
進化,Evolut
顔付き,Express
農場,Farm
速い,Fast
青葉,Greeneri
病院,Hospit
入院,Hospit
工業,Industri
親しい,Intim
漢字,Kanji
親切,Kind
台所,Kitchen
言語,Languag
最終,Last
軽い,Lightweight
運がいい,Lucki
新聞,Newspap
農民,Peasant
読み方,Read
最近,Recent
回転,Rotat
お酒,Sake
買い物,Shop
近道,Shortcut
病気,Sick
歌手,Singer
速度,Speed
開始,Start
主語,Subject
地下鉄,Subway
物語,Tale
口調,Tone
転送,Transfer
思わず,Unintent
作業,Work
上,Abov,up
下,Below,down
大,Big,larg
八,Eight,8
入,Enter
工,Industri
山,Mountain
口,Mouth
九,Nine,9
一,One,1
人,Person
力,Power
川,River
七,Seven,7
十,Ten,10
三,Three,3
二,Two,2
女,Woman
又,Again
玉,Ball
本,Book
子,Child
丸,Circl
正,Correct
犬,Dog
夕,Even
出,Exit
目,Eye
了,Finish
火,Fire
五,Five,5
四,Four,4
才,Geniu
手,Hand
天,Heaven
刀,Katana
王,King
左,Left
中,Middl
月,Moon
々,Repeat
田,Rice Paddi
右,Right
六,Six,6
小,Small
土,Soil
立,Stand
石,Stone
丁,Street
日,Sun
千,Thousand
木,Tree
水,Water
白,White
文,Write
円,Yen
矢,Arrow
市,Citi
牛,Cow
切,Cut
方,Direct
戸,Door
太,Fat
父,Father
少,Few
友,Friend
毛,Fur
半,Half
心,Heart
内,Insid
生,Life
久,Long Tim
台,Machin
母,Mother
午,Noon
北,North
今,Now
古,Old
兄,Older Broth
元,Origin
外,Outsid
分,Part
公,Public
引,Pull
止,Stop
用,Task
万,Ten Thousand
広,Wide
冬,Winter
竹,Bamboo
車,Car
央,Central
写,Copi
仕,Do
耳,Ear
早,Earli
気,Energi
平,Flat
花,Flower
足,Foot
世,Gener
打,Hit
百,Hundr
氷,Ice
虫,Insect
字,Letter
男,Man
主,Master
名,Name
不,Not
号,Number
他,Other
去,Past
皿,Plate
先,Previou
赤,Red
休,Rest
申,Say Humbl
見,See
貝,Shellfish
皮,Skin
代,Substitut
礼,Thank
糸,Thread
町,Town
村,Villag
年,Year
角,Angl
青,Blue
体,Bodi
色,Color
来,Come
社,Compani
図,Diagram
毎,Everi
羽,Feather
林,Forest
行,Go
金,Gold
草,Grass
里,Home Villag
作,Make
多,Mani
肉,Meat
会,Meet
交,Mix
近,Near
池,Pond
雨,Rain
米,Rice
当,Right
走,Run
同,Same
言,Say
自,Self,myself
売,Sell
形,Shape
空,Sky
音,Sound
学,Studi
光,Sunlight
考,Think
回,Time
谷,Valley
声,Voic
西,West
何,What
麦,Wheat
弟,Younger broth
全,All
後,Behind
血,Blood
両,Both
明,Bright
京,Capit
化,Chang
国,Countri
死,Death
亡,Deceas
画,Draw
地,Earth
東,East
食,Eat
直,Fix
前,Front
有,Have
知,Know
活,Live
長,Long
曲,Music
首,Neck
次,Next
夜,Night
姉,Older Sist
点,Point
安,Relax
室,Room
科,Scienc
海,Sea
羊,Sheep
店,Shop
南,South
星,Star
州,State
茶,Tea
思,Think
歩,Walk
向,Yonder
妹,Younger Sist
辺,Area
付,Attach
札,Bill
鳥,Bird
黒,Black
船,Boat
以,By Means Of
必,Certain
末,End
氏,Family Nam
失,Fault
魚,Fish
組,Group
家,Hous
欠,Lack
未,Not Yet
紙,Paper
通,Pass Through
民,Peopl
由,Reason
理,Reason
校,School
雪,Snow
強,Strong
夏,Summer
高,Tall
教,Teach
時,Time
弱,Weak
週,Week
風,Wind
記,Write Down
黄,Yellow
答,Answer
反,Anti
君,Buddi
局,Bureau
買,Buy
雲,Cloud
楽,Comfort
数,Count
決,Decid
絵,Draw
住,Dwell
電,Electr
森,Forest
助,Help
馬,Hors
間,Interv
場,Locat
医,Medicin
朝,Morn
番,Number In ...
所,Place
究,Research
道,Road
役,Servic
研,Sharpen
身,Somebodi
者,Someon
合,Suit
支,Support
話,Talk
投,Throw
対,Versu
受,Accept
事,Action
美,Beauti
予,Beforehand
始,Begin
服,Cloth
度,Degre
発,Departur
定,Determin
談,Discuss
表,Express
客,Guest
重,Heavi
持,Hold
負,Lose
相,Mutual
要,Need
新,New
部,Part
和,Peac
県,Prefectur
返,Return
乗,Ride
屋,Roof
送,Send
苦,Suffer
泳,Swim
仮,Temporari
物,Thing
具,Tool
実,Truth
使,Use
待,Wait
勝,Win
界,World
進,Advanc
酒,Alcohol
業,Busi
算,Calcul
運,Carri
漢,Chines
鳴,Chirp
集,Collect
配,Distribut
飲,Drink
終,End
顔,Face
落,Fall
農,Farm
速,Fast
頭,Head
聞,Hear
院,Institut
調,Investig
鉄,Iron
語,Languag
葉,Leaf
習,Learn
軽,Lightweight
線,Line
最,Most
開,Open
親,Parent
読,Read
転,Revolv
路,Road
病,Sick
横,Side
歌,Song
起,Wake Up
エアコン,AC
アクション,action
アクター,actor
アフター,after
アニメ,anim
アンサー,answer
アパート,apart
アポ,appoint
アテンダント,attend
オーディエンス,audienc
オート,auto
ベビー,babi
バック,back
ボール,ball
ボール,ballpoint
バーゲン,bargain
バリア,barrier
バッティング,bat
ベッド,bed
ベル,bell
バイ,bicycl
バイク,bike
ブレザー,blazer
ブルマ,bloomer
ブック,book
ボックス,box
ブレーキ,brake
ビル,build
ビジネス,busi
バター,butter
キャベツ,cabbag
キャビン,Cabin
ケーキ,cake
グコール,call
カメラマン,cameraman
キャンペーン,campaign
キャップ,cap
カー,car
カシュー,cashew
キャッチ,catch
セレブ,celebr
センター,centr
チアリーダー,cheerlead
チアリーディング,cheerlead
サイダー,cider
クレーム,claim
クラブ,club
コースター,coaster
コート,coat
コイン,coin
コラボ,Collabor
カラ,collar
コミカライズ,comic
コミ,commun
カンパニー,compani
コン,complex
コンピューター,comput
コンビニ,conveni
コピー,copi
コース,cours
カバー,cover
クリーム,cream
コロッケー,croquett
クリスタル,crystal
カンニング,cun
カップ,cup
デー,Day
デコレーション,decor
デリバリー,deliveri
デパート,depart
デスク,desk
ディスプレイ,display
ドラマ,drama
ドリフト,drift
ドライブ,drive
ドライバー,driver
ダンプ,dump
ダスト,dust
エレベーター,elev
エンド,end
エスカレーター,escal
ファンタジック,fantasi
ファッション,fashion
フェッチ,fetch
～フェチ,fetish
ファイト,fight
ファイナル,final
フライ,fli
フライング,fli
アメフト,footbal
フォア,four
フリー,free
フリー,free
フリー,free
フリー,free
フライド,fri
フロント,front
フライ,fri
ギャラリー,galleri
ゲーム,game
ガソリン,gasolin
ジェンダー,gender
ギブ,give
グラス,glass
ゴールデン,golden
グロ,grotesqu
ガード,guard
ガイド,guid
ハッカー,hacker
ハンバーグ,hamburg
ハンカチ,handkerchief
ハンドル,handl
ハッピー,happi
ヘルス,health
ハイ,high
ヒップ,Hip
ホルダー,holder
ホーム,home
ホットケーキ,hotcak
ホッチキス,Hotchkiss
ホテル,hotel
アワ,hour
ハウス,hous
アイス,ice
アイドル,idol
イラスト,illustr
イメージ,imag
イン,in
インフレ,inflat
ジェット,jet
ジュース,juic
ジャンパー,jumper
カラオケ,karaok
キーパー,keeper
キー,key
キーボード,keyboard
キス,kiss
キッチン,kitchen
ランドリー,laundri
ラムネ,lemonad
ライフライン,lifelin
リンク,link
ライブ,live
ロッカー,locker
ロス,loss
ラブ,love
ミシン,machin
マガジン,magazin
マジック,magic
メール,mail
メーカー,maker
マン,man
マニア,mania
マンション,mansion
マーク,mark
マス,mass
メンバー,member
メーター,meter
ミルク,milk
マイナス,minu
ミラー,mirror
モバイル,mobil
モン,monster
ムーディ,moodi
モーニン,morn
モーテル,motel
マグ,mug
マイ〜,my
ネーム,name
ネック,neck
ネット,net
ニューハーフ,new-half
ノート,note
ナンバ,number
ナッツ,nut
オフ,off
ワン,one
オンリー,onli
オープン,open
アウト,out
オーバー,over
パネリスト,panelist
パンツ,pant
ペーパー,paper
パターン,pattern
ペン,pen
パーマ,perman
ピース,piec
パイン,pineappl
プレート,plate
ホーム,platform
プレ,play
プラス,plu
ポケ,pocket
ポスト,post
ポテト,potato
プロ,profession
パンク,punctur
リーチ,reach
リード,read
リサイクル,recycl
リフォーム,reform
リモコン,remot
リニューアル,renew
リストラ,restructur
リターン,return
リベンジ,reveng
ライ,right
ライバル,rival
ロード,road
ルーム,room
ロープ,rope
ラン,run
ランニング,run
アールブイ,RV
セラ,sailor
サラリー,salari
サンドバッグ,sandbag
サンドイッチ,sandwich
シール,seal
センス,sens
サービス,servic
セックス,sex
シャツ,shirt
ショップ,shop
サイド,side
サイン,sign
サイズ,size
スケボー,skateboard
スケルトン,skeleton
スキー,ski
スカイ,sky
スマート,smart
スムーズ,smooth
ソフト,soft
ソフト,softwar
ソーラー,solar
スペル,spell
スピン,spin
スタンド,stand
スタート,start
ハンバーグ,steak
デパート,store
ストーブ,stove
スイート,suit
スーツ,suit
ウーパールーパー,super
スーパー,supermarket
システム,system
タレント,talent
テープ,tape
ティーンエージャー,Teenag
テレフォン,telephon
テレビ,televis
テンション,tension
テスト,test
タイム,time
タイムリー,time
トイレ(ット),toilet
タッチ,touch
タウン,town
トレーナー,trainer
トレーニング,train
トランプ,trump
ニート,unemploy
アップ,up
〜アップ,upgrad
ヴァージン,virgin
ウェー,way
ウィーク,week
ホワイト,White
ワープ,word
ヨット,yacht
エール,yell
