大人,Adult
〜回,Times
走行,Traveling
三角,Triangle
大学,University
色々,Various
青年,Youth
後で,After
全て,All
米国,America
午前,AM
足首,Ankle
年次,Annual
後ろ,Behind
出血,Bleeding
両方,Both
明るい,Bright
茶色,Brown
安い,Cheap
中国,China
活用,Conjugation
文化,Culture
方言,Dialect
方向,Direction
早く,Early
東方,Eastward
活気,Energy
有名,Famous
手作り,Handmade
正直,Honest
本州,Honshuu
国王,King
九州,Kyuushuu
土地,Land
生活,Life
長い,Long
地図,Map
草地,Meadow
水星,Mercury
死亡,Mortality
全国,Nationwide
海王星,Neptune
直行,Nonstop
東北,Northeast
年上,Older
海外,Overseas
平安,Peace
午後,PM
安心,Relief
〜室,Room
安全,Safety
土星,Saturn
科学,Science
四国,Shikoku
姉妹,Sisters
世の中,Society
南東,Southeast
代わり,Substitute
お茶,Tea
東京,Tokyo
今夜,Tonight
地下,Underground
地中,Underground
不安,Uneasiness
不明,Unknown
金星,Venus
羊毛,Wool
年下,Younger
先回り,Anticipation
考古学,Archeology
辺り,Area
作家,Author
風船,Balloon
黒い,Black
教室,Classroom
日記,Diary
人形,Doll,figurine
必死,Frantic
自由,Freedom
未来,Future
地理,Geography
金魚,Goldfish
大空,Heavens
船体,Hull
手紙,Letter
近く,Near
時代,Period
以前,Previously
心理学,Psychology
本当に,Really
理由,Reason
失礼,Rude
学校,School
欠点,Shortcoming
社会,Society
強力,Strength
強い,Strong
必ず,Surely
白鳥,Swan
高い,Tall
町民,Townspeople
交通,Traffic
三角形,Triangle
台風,Typhoon,hurricane
不人気,Unpopular
弱い,Weak
週末,Weekend
黄色,Yellow
住所,Address
入所,Admission
助言,Advice
答え,Answer
助力,Assistance
助手,Assistant
作者,Author
電池,Battery
朝ごはん,Breakfast
場合,Case
全く,Completely
対立,Confrontation
会話,Conversation
決心,Determination
医者,Doctor
役目,Duty
電気,Electricity
電子,Electron
工学者,Engineer
入場,Entrance
工場,Factory
対外,Foreign
楽しい,Fun,enjoyable,entertaining
北海道,Hokkaido
馬力,Horsepower
人間,Human,homosapien
究明,Investigation
研究,Investigation
研究室,Laboratory
長さ,Length
生地,Material
数学,Mathematics
君主国,Monarchy
音楽,Music
名前,Name
当たり前,Natural
お知らせ,Notice
番号,Number
数字,Numeral
反対,Opposition
未決,Pending
場所,Place
点数,Points
番組,Program
住人,Resident
学者,Scholar
歩道,Sidewalk
合図,Sign
間もなく,Soon
出所,Source
空間,Space
科目,Subject
電話,Telephone
時間,Time
明日,Tomorrow
電車,Train
お前,You
全部,All
天使,Angel
角度,Angle
発表,Announcement
記事,Article
仮定,Assumption
通り,Avenue
美しい,Beautiful
本屋,Bookstore
部室,Clubroom
具合,Condition
工事,Construction
相談,Consultation
対談,Conversation
決定,Decision
〜度,Degrees
〜部,Department
出発,Departure
不自由,Discomfort
発見,Discovery
二重,Double
用事,Errand
重要,Essential
丁度,Exactly
気持ち,Feeling
火事,Fire
食べ物,Food
家具,Furniture
お客さん,Guest
重い,Heavy
高さ,Height
家事,Housework
大事,Important
仮名,Kana
勝負,Match
食事,Meal
名古屋,Nagoya
必要,Necessary
付近,Neighborhood
新しい,New
苦しい,Painful
相手,Partner
平和,Peace
部分,Portion
〜県,Prefecture
発音,Pronunciation
返事,Reply
住民,Residents
金持ち,Rich
部屋,Room
見物,Sightseeing
〜屋,Store
泳ぎ,Swimming
教え,Teaching
仮に,Temporarily
道具,Tool
事実,Truth
乗り物,Vehicle
弱虫,Weakling
勝者,Winner
学院,Academy
知り合い,Acquaintance
進行,Advance
農業,Agriculture
路地,Alley
算数,Arithmetic
自転車,Bicycle
千葉,Chiba
集中,Concentration
調子,Condition
曲線,Curve
開発,Development
〜病,Disease
強調,Emphasis
終了,End
進化,Evolution
顔付き,Expression
農場,Farm
速い,Fast
青葉,Greenery
病院,Hospital
入院,Hospitalization
工業,Industry
親しい,Intimate
漢字,Kanji
親切,Kind
台所,Kitchen
言語,Language
最終,Last
軽い,Lightweight
運がいい,Lucky
新聞,Newspaper
農民,Peasants
読み方,Reading
最近,Recently
回転,Rotation
お酒,Sake
買い物,Shopping
近道,Shortcut
病気,Sick
歌手,Singer
速度,Speed
開始,Start
主語,Subject
地下鉄,Subway
物語,Tale
口調,Tone
転送,Transfer
思わず,Unintentionally
作業,Work
上,Above,up
下,Below,down
大,Big,large
八,Eight,8
入,Enter
工,Industry
山,Mountain
口,Mouth
九,Nine,9
一,One,1
人,Person
力,Power
川,River
七,Seven,7
十,Ten,10
三,Three,3
二,Two,2
女,Woman
又,Again
玉,Ball
本,Book
子,Child
丸,Circle
正,Correct
犬,Dog
夕,Evening
出,Exit
目,Eye
了,Finish
火,Fire
五,Five,5
四,Four,4
才,Genius
手,Hand
天,Heaven
刀,Katana
王,King
左,Left
中,Middle
月,Moon
々,Repeater
田,Rice Paddy
右,Right
六,Six,6
小,Small
土,Soil
立,Stand
石,Stone
丁,Street
日,Sun
千,Thousand
木,Tree
水,Water
白,White
文,Writing
円,Yen
矢,Arrow
市,City
牛,Cow
切,Cut
方,Direction
戸,Door
太,Fat
父,Father
少,Few
友,Friend
毛,Fur
半,Half
心,Heart
内,Inside
生,Life
久,Long Time
台,Machine
母,Mother
午,Noon
北,North
今,Now
古,Old
兄,Older Brother
元,Origin
外,Outside
分,Part
公,Public
引,Pull
止,Stop
用,Task
万,Ten Thousand
広,Wide
冬,Winter
竹,Bamboo
車,Car
央,Central
写,Copy
仕,Doing
耳,Ear
早,Early
気,Energy
平,Flat
花,Flower
足,Foot
世,Generation
打,Hit
百,Hundred
氷,Ice
虫,Insect
字,Letter
男,Man
主,Master
名,Name
不,Not
号,Number
他,Other
去,Past
皿,Plate
先,Previous
赤,Red
休,Rest
申,Say Humbly
見,See
貝,Shellfish
皮,Skin
代,Substitute
礼,Thanks
糸,Thread
町,Town
村,Village
年,Year
角,Angle
青,Blue
体,Body
色,Color
来,Come
社,Company
図,Diagram
毎,Every
羽,Feather
林,Forest
行,Go
金,Gold
草,Grass
里,Home Village
作,Make
多,Many
肉,Meat
会,Meet
交,Mix
近,Near
池,Pond
雨,Rain
米,Rice
当,Right
走,Run
同,Same
言,Say
自,Self,myself
売,Sell
形,Shape
空,Sky
音,Sound
学,Study
光,Sunlight
考,Think
回,Times
谷,Valley
声,Voice
西,West
何,What
麦,Wheat
弟,Younger brother
全,All
後,Behind
血,Blood
両,Both
明,Bright
京,Capital
化,Change
国,Country
死,Death
亡,Deceased
画,Drawing
地,Earth
東,East
食,Eat
直,Fix
前,Front
有,Have
知,Know
活,Lively
長,Long
曲,Music
首,Neck
次,Next
夜,Night
姉,Older Sister
点,Point
安,Relax
室,Room
科,Science
海,Sea
羊,Sheep
店,Shop
南,South
星,Star
州,State
茶,Tea
思,Think
歩,Walk
向,Yonder
妹,Younger Sister
辺,Area
付,Attach
札,Bill
鳥,Bird
黒,Black
船,Boat
以,By Means Of
必,Certain
末,End
氏,Family Name
失,Fault
魚,Fish
組,Group
家,House
欠,Lack
未,Not Yet
紙,Paper
通,Pass Through
民,Peoples
由,Reason
理,Reason
校,School
雪,Snow
強,Strong
夏,Summer
高,Tall
教,Teach
時,Time
弱,Weak
週,Week
風,Wind
記,Write Down
黄,Yellow
答,Answer
反,Anti
君,Buddy
局,Bureau
買,Buy
雲,Cloud
楽,Comfort
数,Count
決,Decide
絵,Drawing
住,Dwelling
電,Electricity
森,Forest
助,Help
馬,Horse
間,Interval
場,Location
医,Medicine
朝,Morning
番,Number In ...
所,Place
究,Research
道,Road
役,Service
研,Sharpen
身,Somebody
者,Someone
合,Suit
支,Support
話,Talk
投,Throw
対,Versus
受,Accept
事,Action
美,Beauty
予,Beforehand
始,Begin
服,Clothes
度,Degrees
発,Departure
定,Determine
談,Discuss
表,Express
客,Guest
重,Heavy
持,Hold
負,Lose
相,Mutual
要,Need
新,New
部,Part
和,Peace
県,Prefecture
返,Return
乗,Ride
屋,Roof
送,Send
苦,Suffering
泳,Swim
仮,Temporary
物,Thing
具,Tool
実,Truth
使,Use
待,Wait
勝,Win
界,World
進,Advance
酒,Alcohol
業,Business
算,Calculate
運,Carry
漢,Chinese
鳴,Chirp
集,Collect
配,Distribute
飲,Drink
終,End
顔,Face
落,Fall
農,Farming
速,Fast
頭,Head
聞,Hear
院,Institution
調,Investigate
鉄,Iron
語,Language
葉,Leaf
習,Learn
軽,Lightweight
線,Line
最,Most
開,Open
親,Parent
読,Read
転,Revolve
路,Road
病,Sick
横,Side
歌,Song
起,Wake Up
